Question,Category,answer_class
"Что делать, если я хочу изменить группу или специализацию во время обучения?",Перевод/ запись в группу,11
Из чего состоит основное обучение в личном кабинете?,Портал,15
Что входит в программу помощи с трудоустройством вашей школы? Какие инструменты или ресурсы будут предоставлены студентам?,Трудоустройство,27
"Подскажите расписание каникул в 2024, пожалуйста",Расписание,21
Какие инструменты и ресурсы вы предоставляете для поиска работы после окончания обучения?,Трудоустройство,25
Кто проверяет мои сданные работы?,Оценки,10
Когда я получу диплом?,Документы,2
Какая последовательность курсов в программе?,Организация уроков,6
Где можно найти информацию о расписании курсов и лекций?,Расписание,22
"Когда нужно было оплатить обучение, чтобы получить удостоверение?",Документы,3
"Как исправить оценку ""не принято""?",Оценки,10
Как сдать домашнее задание на платформе?,Практические работы,12
Какие программы и инструменты мне нужны для обучения на тестировщике?,Требования ПО,24
Как я могу получить помощь с трудоустройством?,Трудоустройство,26
Где можно узнать о документах или сертификатах после завершения обучения?,Документы,0
Где проходят трансляции веинаров?,Организация уроков,5
Я не хочу получать увемдомления от вашей платформы. Как их отключить?,Портал,17
Когда появится рассписание?,Организация уроков,6
Как получить итоговый документ об образовании?,Документы,1
Как настроить уведомления о предстоящих уроках в моем профиле?,Портал,17
Могу ли я получилить диплом на бумаге?,Документы,4
"Как найти список курсов, которые я должен проходить в рамках моего обучения?",Портал,14
Что входит в подготовку в основном обучении в ЛК?,Портал,15
Сколько я буду учиться?,Программа обучения,13
Какие программы и инструменты мне нужны для обучения на программисте?,Требования ПО,23
Что представляет собой консультация?,Организация уроков,8
Что включает в себя помощь с трудоустройством?,Трудоустройство,27
В чем заключается разница в структуре и длительности между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20
"Могу ли я ожидать, что уроки будут интерактивными и включать в себя возможность задавать вопросы?",Организация уроков,7
Где проходят уроки?,Организация уроков,5
"В вашей программе обучения включены мероприятия или ресурсы, помогающие с трудоустройством после обучения?
",Трудоустройство,25
Как забрать диплом?,Документы,4
Как добавить информацию о себе в профиль?,Портал,18
Где мне найти задание для выполнения?,Практические работы,12
В какие дни проходят уроки?,Расписание,22
Когда появится запись вебинара?,Организация уроков,9
"Моя налоговая служба отказывается принимать договор с вашей школы. Как мне поступить?
",Документы,29
Какой документ я получу после обучения?,Документы,0
От какой даты начинается отсчет срока обучения для возможных переводов?,Перевод/ запись в группу,11
Как проходят занятия на курсе?,Организация уроков,7
Какие основные различия между программой профессиональной переподготовки и программой повышения квалификации?,Программа обучения,20
Курсы во вкладке Отдельные нужно обязательно проходить?,Портал,16
"В чем разница между программами ""Специалист"" и
""Специалист с опытом""?",Программа обучения,13
Как начать учиться?,Портал,14
"Я студент, изучающий специализацию ""Тестировщик"" на вашей платформе. Можете ли вы подсказать, какие программы мне следует установить для эффективного обучения?",Требования ПО,24
"Что представляют собой курсы, которые находятся во вкладке ""Отдельные""?",Портал,16
"Я хочу перевестись в другую группу, как мне это сделать?",Перевод/ запись в группу,11
Как получить помощь с трудоустройством?,Трудоустройство,26
"Мне бы хотелось узнать, какие программные требования необходимы для специализации Программист?",Требования ПО,23
Какие документы мне нужно предоставить для получения диплома?,Документы,2
"Где на сайте GeekBrains я могу найти список курсов, которые я должен проходить?",Портал,14
Где я могу найти записи прошедших вебинаров?,Организация уроков,9
"Можно ли пересдать работу еще раз, если я пропустил дедлайн пересдачи?",Оценки,10
Могу ли я получить налоговый вычет с вашего обучения?,Документы,28
"Можете рассказать подробнее о том, как устроена программа обучения?",Программа обучения,19
Какие есть форматы обучения?,Организация уроков,8
При каких условиях я могу получить удостоверение?,Документы,3
Можно ли получить диплом не сдавая промежуточные и итоговые аттестиции?,Документы,1
Какие аккредитации или удостоверения я могу ожидать получить по завершении обучения?,Документы,0
"Что делать, если я не смог прийти на онлайн урок?",Организация уроков,9
Будут ли каникулы в GB в этом году?,Расписание,21
Как включить уведомления об уроках для моего аккаунта?,Портал,17
Как попасть на урок?,Организация уроков,5
"Что нужно сделать, чтобы получить документ после обучения?",Документы,1
Возможно ли получить налоговый вычет за прохождение ваших курсов?,Документы,28
Как я могу внести информацию о себе в мою учетную запись?,Портал,18
Какие варианты сдачи задания доступны?,Практические работы,12
"Какие действия нужно предпринять, если налоговая отказывается принять договор с вашей школой?
",Документы,29
Какой формат уроков на моей программе?,Организация уроков,8
